Listing code,Price,Brand,Model,Reference number,Movement,Case material,Bracelet material,Year of production,Condition,Scope of delivery,Gender,Location,Movement/Caliber,Base caliber,Power reserve,Number of jewels,Case diameter,Water resistance,Bezel material,Crystal,Dial,Dial numerals,Bracelet color,Clasp,Clasp material
DGN2P1,"$115,000",A. Lange & Söhne,Zeitwerk,140.025,Manual winding,Platinum,Crocodile skin,2009,"Very good,                      (Worn with little to no signs of wear),","Original box, original papers",Mens watch/Unisex,"United States of America, New York, Westchester County","L043.1, 36",,55 h,68,42 mm,3 ATM,White gold,Sapphire crystal,Silver,Arabic numerals,Black,Fold clasp,White Gold
DEAWB4,"$295,000",A. Lange & Söhne,Datograph,740.036,Manual winding,Platinum,Crocodile skin,Unknown,"Very good,                      (Worn with little to no signs of wear),","Original box, original papers",Mens watch/Unisex,"United States of America, Illinois, BUFFALO GROVE",L043.1,,36 h,,41.5 mm,3 ATM,White gold,Sapphire crystal,Black,Arabic numerals,Black,Buckle,White Gold
DC2H92,"$99,500",A. Lange & Söhne,Datograph,403.035,Manual winding,Platinum,Crocodile skin,Unknown,"Very good,                      (Worn with little to no signs of wear),","Original box, original papers",Mens watch/Unisex,"United States of America, Massachusetts, Boston",L095.3,,72 h,,39 mm,3 ATM,Rose gold,Sapphire crystal,Silver (solid),No numerals,Steel,Buckle,Rose Gold
C9WCV0,"$25,695",A. Lange & Söhne,1815,233.026,Manual winding,White gold,Crocodile skin,2010,"Very good,                      (Worn with little to no signs of wear),","Original box, original papers",Mens watch/Unisex,"United States of America, Florida, Orlando",L082.1,,50 h,,40 mm,3 ATM,Rose gold,Sapphire crystal,Black,No numerals,Brown,Buckle,Rose Gold
C9KGV9,"$75,000",A. Lange & Söhne,Zeitwerk,140.029,Manual winding,White gold,Leather,2016,"Very good,                      (Worn with little to no signs of wear),","Original box, original papers",Mens watch/Unisex,"United States of America, Georgia, Alpharetta",L941.1,,48 h,,41.9 mm,3 ATM,Rose gold,Sapphire crystal,Silver,,Black,Buckle,
COMJG7,"$37,199",A. Lange & Söhne,Grand Lange 1,139.032,Manual winding,Rose gold,Steel,2019,"Unworn,                      (Mint condition, without signs of wear),","Original box, original papers",Mens watch/Unisex,"United States of America, New York, New York",L085.1,,,,41 mm,3 ATM,,Sapphire crystal,Blue,,Black,Buckle,
DGWPT9,"$135,000",A. Lange & Söhne,Odysseus,363.179,Automatic,Steel,Crocodile skin,2020,"Unworn,                      (Mint condition, without signs of wear),","Original box, original papers",Mens watch/Unisex,"United States of America, Montana, Bozeman",,,,,40.5 mm,,,Sapphire crystal,Silver,,,Buckle,
3TBMW1,"$200,000",A. Lange & Söhne,Lange 1,720.032,Manual winding,Rose gold,Crocodile skin,2014,"Very good,                      (Worn with little to no signs of wear),","Original box, original papers",Mens watch/Unisex,"United States of America, Texas, Houston",,,,,41.9 mm,,,Sapphire crystal,Black,,,,
CLF489,"$17,543",A. Lange & Söhne,Saxonia,330.032,Automatic,White gold,Crocodile skin,2014,"Unworn,                      (Mint condition, without signs of wear),","No original box, no original papers",Mens watch/Unisex,"Germany, Karlsruhe",,,,,37 mm,,,,Silver,,,,
CLPCQ7,"$42,000",A. Lange & Söhne,Saxonia,,,Rose gold,,Unknown,,"Original box, no original papers",Mens watch/Unisex,"United States of America, Florida, Aventura",,,,,38.5 mm,,,,,,,,
